component_id,box_id,first_detected,assignment_method
2678,27,2025-06-15 00:42:57.212019,middle_line
2684,27,2025-06-15 00:42:57.733782,middle_line
2687,51,2025-06-15 00:42:57.893727,middle_line
2712,51,2025-06-15 00:43:01.476443,middle_line
2723,51,2025-06-15 00:43:03.117977,middle_line
2731,51,2025-06-15 00:43:04.445447,middle_line
2743,27,2025-06-15 00:43:05.300007,middle_line
2755,51,2025-06-15 00:43:06.470224,middle_line
2768,27,2025-06-15 00:43:08.750827,middle_line
2773,51,2025-06-15 00:43:09.071575,middle_line
2781,51,2025-06-15 00:43:10.071065,middle_line
2797,51,2025-06-15 00:43:13.016285,middle_line
2815,51,2025-06-15 00:43:15.325079,middle_line
2817,27,2025-06-15 00:43:15.485051,middle_line
2819,51,2025-06-15 00:43:15.485051,middle_line
2825,27,2025-06-15 00:43:17.420293,middle_line
2831,51,2025-06-15 00:43:19.380239,zone
2837,27,2025-06-15 00:43:20.253215,middle_line
2842,51,2025-06-15 00:43:21.209473,zone
2852,27,2025-06-15 00:43:23.337416,middle_line
2860,27,2025-06-15 00:43:23.986802,middle_line
2868,51,2025-06-15 00:43:24.484301,middle_line
2876,51,2025-06-15 00:43:25.426449,middle_line
2877,27,2025-06-15 00:43:25.760423,middle_line
2878,51,2025-06-15 00:43:26.087643,middle_line
2881,27,2025-06-15 00:43:26.425503,middle_line
2882,27,2025-06-15 00:43:26.596005,middle_line
2883,27,2025-06-15 00:43:27.232137,middle_line
2887,27,2025-06-15 00:43:28.544069,zone
2892,51,2025-06-15 00:43:29.188292,middle_line
2900,27,2025-06-15 00:43:30.989787,zone
2908,51,2025-06-15 00:43:32.782513,middle_line
2909,27,2025-06-15 00:43:33.259965,middle_line
2917,51,2025-06-15 00:43:37.308499,middle_line
2924,51,2025-06-15 00:43:39.444549,middle_line
2925,51,2025-06-15 00:43:39.608470,middle_line
2926,27,2025-06-15 00:43:39.770510,middle_line
2929,27,2025-06-15 00:43:40.411281,middle_line
2935,51,2025-06-15 00:43:41.711911,middle_line
2937,27,2025-06-15 00:43:43.505960,middle_line
2939,51,2025-06-15 00:43:45.571074,middle_line
2940,51,2025-06-15 00:43:45.571074,zone
2942,51,2025-06-15 00:43:45.889347,zone
2948,51,2025-06-15 00:43:47.033205,middle_line
2952,51,2025-06-15 00:43:49.220264,middle_line
2957,27,2025-06-15 00:43:52.767532,middle_line
2965,51,2025-06-15 00:43:56.215436,zone
2971,51,2025-06-15 00:43:57.624417,middle_line
2973,51,2025-06-15 00:43:57.958217,middle_line
2985,27,2025-06-15 00:44:04.699483,middle_line
3010,27,2025-06-15 00:44:10.596683,zone
3022,27,2025-06-15 00:44:13.663534,middle_line
3023,27,2025-06-15 00:44:13.663534,middle_line
3033,27,2025-06-15 00:44:15.117596,middle_line
3046,51,2025-06-15 00:44:16.732995,middle_line
3055,51,2025-06-15 00:44:17.735772,middle_line
3057,51,2025-06-15 00:44:17.899996,middle_line
3058,51,2025-06-15 00:44:18.068192,middle_line
3069,27,2025-06-15 00:44:22.718093,middle_line
3078,27,2025-06-15 00:44:25.689765,middle_line
3080,27,2025-06-15 00:44:26.517973,zone
3085,27,2025-06-15 00:44:27.658711,middle_line
3101,27,2025-06-15 00:44:30.565975,middle_line
3116,51,2025-06-15 00:44:33.726576,middle_line
3117,27,2025-06-15 00:44:33.726576,middle_line
3132,27,2025-06-15 00:44:39.048556,zone
3133,51,2025-06-15 00:44:39.048556,middle_line
3157,27,2025-06-15 00:44:41.873025,middle_line
3164,51,2025-06-15 00:44:44.636449,middle_line
3187,27,2025-06-15 00:44:48.400286,middle_line
3194,51,2025-06-15 00:44:50.595873,zone
3196,51,2025-06-15 00:44:50.937939,middle_line
3215,51,2025-06-15 00:44:53.324517,middle_line
3220,51,2025-06-15 00:44:53.662684,middle_line
3221,51,2025-06-15 00:44:53.826505,middle_line
3222,51,2025-06-15 00:44:54.144854,middle_line
3223,51,2025-06-15 00:44:54.144854,middle_line
3250,51,2025-06-15 00:44:56.900752,middle_line
3252,51,2025-06-15 00:44:57.407642,middle_line
3254,27,2025-06-15 00:44:57.915406,zone
3261,51,2025-06-15 00:44:58.565114,middle_line
3265,51,2025-06-15 00:44:59.389544,middle_line
